file_name,telegram_type,station_code,data_id,announced,created,obs_kind,date,fct_start_day,fct_start_hour,fct_end_day,fct_end_hour,wind_dir,wind_speed_over100kt_flag,wind_speed,wind_gusts_over100kt_flag,wind_gusts,wind_dir_min,wind_dir_max,cavok,visibility,rvr_count,wx_count,cloud_count,str_cloud,temp_sign,temp,dew_point_sign,dew_point,altimeter_hpa,bulletin,wx
20180101_000000.002,0,RJFK,,,,0,20180101000000,-1,-1,-1,-1,330,-1,9,-1,-1,-1,-1,,9999,0,0,1,FEW 30,1,5,-1,1,1023,RJFK 010000Z 33009KT 9999 FEW030 05/M01 Q1023 RMK 1CU030     A3021=,
20180101_010000.002,0,RJFK,,,,0,20180101010000,-1,-1,-1,-1,340,-1,11,-1,-1,310,10,,9999,0,0,1,FEW 35,1,6,-1,2,1023,RJFK 010100Z 34011KT 310V010 9999 FEW035 06/M02 Q1023 RMK     2SC035 A3023=,
20180101_020000.002,0,RJFK,,,,0,20180101020000,-1,-1,-1,-1,330,-1,13,-1,-1,-1,-1,,9999,0,0,1,FEW 35,1,7,-1,3,1023,RJFK 010200Z 33013KT 9999 FEW035 07/M03 Q1023 RMK 2SC035     A3021=,
20180101_030000.002,0,RJFK,,,,0,20180101030000,-1,-1,-1,-1,320,-1,18,-1,-1,-1,-1,,9999,0,0,1,FEW 40,1,7,-1,4,1022,RJFK 010300Z 32018KT 9999 FEW040 07/M04 Q1022 RMK 2SC040     A3020=,
20180101_040000.002,0,RJFK,,,,0,20180101040000,-1,-1,-1,-1,320,-1,16,-1,-1,290,350,,9999,0,0,1,FEW 40,1,8,-1,3,1021,RJFK 010400Z 32016KT 290V350 9999 FEW040 08/M03 Q1021 RMK     1SC040 A3017=,
20180101_050000.002,0,RJFK,,,,0,20180101050000,-1,-1,-1,-1,320,-1,13,-1,-1,290,350,,9999,0,0,1,FEW 40,1,8,-1,4,1021,RJFK 010500Z 32013KT 290V350 9999 FEW040 08/M04 Q1021 RMK     1SC040 A3017=,
20180101_060000.002,0,RJFK,,,,0,20180101060000,-1,-1,-1,-1,310,-1,13,-1,-1,280,350,,9999,0,0,1,FEW 40,1,8,-1,4,1022,RJFK 010600Z 31013KT 280V350 9999 FEW040 08/M04 Q1022 RMK     1SC040 A3018=,
20180101_070000.002,0,RJFK,,,,0,20180101070000,-1,-1,-1,-1,330,-1,11,-1,-1,-1,-1,,9999,0,0,1,FEW 45,1,7,-1,3,1022,RJFK 010700Z 33011KT 9999 FEW045 07/M03 Q1022 RMK 1SC045     A3018=,
20180101_080000.002,0,RJFK,,,,0,20180101080000,-1,-1,-1,-1,330,-1,11,-1,-1,-1,-1,,9999,0,0,1,FEW 40,1,5,-1,3,1022,RJFK 010800Z 33011KT 9999 FEW040 05/M03 Q1022 RMK 1SC040 A3018     VOLCANIC ASH CLOUD S=,
20180101_090000.002,0,RJFK,,,,0,20180101090000,-1,-1,-1,-1,310,-1,7,-1,-1,-1,-1,,9999,0,0,1,FEW 30,1,3,-1,3,1022,RJFK 010900Z 31007KT 9999 FEW030 03/M03 Q1022 RMK 1CU030     A3019=,
20180101_100000.002,0,RJFK,,,,0,20180101100000,-1,-1,-1,-1,300,-1,9,-1,-1,-1,-1,,9999,0,0,1,FEW 30,1,3,-1,3,1023,RJFK 011000Z 30009KT 9999 FEW030 03/M03 Q1023 RMK 1CU030     A3021=,
20180101_110000.002,0,RJFK,,,,0,20180101110000,-1,-1,-1,-1,310,-1,9,-1,-1,-1,-1,,9999,0,0,1,FEW 30,1,2,-1,3,1023,RJFK 011100Z 31009KT 9999 FEW030 02/M03 Q1023 RMK 1CU030     A3022=,
20180101_120000.002,0,RJFK,,,,0,20180101120000,-1,-1,-1,-1,310,-1,6,-1,-1,-1,-1,CAVOK,-1,0,0,0,,1,1,-1,4,1023,RJFK 011200Z 31006KT CAVOK 01/M04 Q1023 RMK A3023=,
20180101_210000.002,0,RJFK,,,,0,20180101210000,-1,-1,-1,-1,300,-1,7,-1,-1,-1,-1,CAVOK,-1,0,0,0,,-1,2,-1,7,1025,RJFK 012100Z 30007KT CAVOK M02/M07 Q1025 RMK A3027=,
20180101_220000.002,0,RJFK,,,,0,20180101220000,-1,-1,-1,-1,320,-1,7,-1,-1,-1,-1,CAVOK,-1,0,0,0,,1,0,-1,5,1025,RJFK 012200Z 32007KT CAVOK 00/M05 Q1025 RMK A3029=,
