date,str_cloud,ceiling_metar,CIG_metar,CLING,CIG_after
20170101070000,-99999,-99999,99999,30479.695,99999
20170101080000,-99999,-99999,99999,30479.695,99999
20170101090000,-99999,-99999,99999,30479.695,99999
20170101100000,-99999,-99999,99999,30479.695,99999
20170101110000,-99999,-99999,99999,30479.695,99999
20170101120000,-99999,-99999,99999,30479.695,99999
20170101210000,FEW 25   SCT 60   BKN 80,8000,6,30479.695,99999
20170101220000,FEW 30   BKN 70,7000,6,30479.695,99999
20170101230000,FEW 30   BKN 60,6000,6,30479.695,99999
20170102000000,FEW 30   BKN 50,5000,6,30479.695,99999
20170102010000,FEW 30   SCT 50   BKN -9999,-9999,9999,30479.695,99999
20170102020000,FEW 30,-99999,99999,30479.695,99999
20170102030000,FEW 30   BKN 90,9000,6,30479.695,99999
20170102040000,FEW 30,-99999,99999,30479.695,99999
20170102050000,FEW 30,-99999,99999,1066.8,4
20170102060000,FEW 30,-99999,99999,1066.8,4
20170102060000,FEW 30,-99999,99999,30479.695,99999
20170102070000,FEW 30   SCT 40,-99999,99999,1066.8,4
20170102070000,FEW 30   SCT 40,-99999,99999,30479.695,99999
20170102080000,FEW 30   SCT 35,-99999,99999,914.4,3
20170102080000,FEW 30   SCT 35,-99999,99999,1066.8,4
20170102090000,FEW 25   BKN 35,3500,5,762.0,3
20170102090000,FEW 25   BKN 35,3500,5,883.92,3
20170102100000,FEW 30,-99999,99999,762.0,3
20170102100000,FEW 30,-99999,99999,914.4,3
20170102110000,FEW 30   SCT 40,-99999,99999,30479.695,99999
20170102110000,FEW 30   SCT 40,-99999,99999,1219.2,4
20170102120000,FEW 30   SCT 40,-99999,99999,30479.695,99999
20170102120000,FEW 30   SCT 40,-99999,99999,30479.695,99999
20170102210000,FEW 30,-99999,99999,30479.695,99999
20170102220000,FEW 25,-99999,99999,30479.695,99999
20170102230000,FEW 25,-99999,99999,30479.695,99999
20170103000000,FEW 30,-99999,99999,30479.695,99999
20170103010000,-99999,-99999,99999,30479.695,99999
20170103020000,FEW 40,-99999,99999,30479.695,99999
20170103030000,FEW 40,-99999,99999,30479.695,99999
20170103040000,FEW 40,-99999,99999,30479.695,99999
20170103050000,-99999,-99999,99999,30479.695,99999
20170103060000,-99999,-99999,99999,30479.695,99999
20170103060000,-99999,-99999,99999,30479.695,99999
20170103070000,-99999,-99999,99999,30479.695,99999
20170103070000,-99999,-99999,99999,30479.695,99999
20170103080000,-99999,-99999,99999,30479.695,99999
20170103080000,-99999,-99999,99999,30479.695,99999
20170103090000,-99999,-99999,99999,30479.695,99999
20170103090000,-99999,-99999,99999,30479.695,99999
20170103100000,-99999,-99999,99999,30479.695,99999
20170103100000,-99999,-99999,99999,30479.695,99999
20170103110000,-99999,-99999,99999,30479.695,99999
20170103110000,-99999,-99999,99999,30479.695,99999
20170103120000,-99999,-99999,99999,30479.695,99999
20170103120000,-99999,-99999,99999,30479.695,99999
20170103210000,-99999,-99999,99999,30479.695,99999
20170103220000,-99999,-99999,99999,30479.695,99999
20170103230000,-99999,-99999,99999,30479.695,99999
20170104000000,-99999,-99999,99999,30479.695,99999
20170104010000,-99999,-99999,99999,30479.695,99999
20170104020000,-99999,-99999,99999,30479.695,99999
20170104030000,-99999,-99999,99999,30479.695,99999
20170104040000,-99999,-99999,99999,30479.695,99999
20170104050000,-99999,-99999,99999,30479.695,99999
20170104060000,-99999,-99999,99999,30479.695,99999
20170104060000,-99999,-99999,99999,30479.695,99999
20170104070000,-99999,-99999,99999,30479.695,99999
20170104070000,-99999,-99999,99999,30479.695,99999
20170104080000,-99999,-99999,99999,30479.695,99999
20170104080000,-99999,-99999,99999,30479.695,99999
20170104090000,-99999,-99999,99999,30479.695,99999
20170104090000,-99999,-99999,99999,30479.695,99999
20170104100000,-99999,-99999,99999,30479.695,99999
20170104100000,-99999,-99999,99999,30479.695,99999
20170104110000,-99999,-99999,99999,30479.695,99999
20170104110000,-99999,-99999,99999,30479.695,99999
20170104120000,-99999,-99999,99999,30479.695,99999
20170104120000,-99999,-99999,99999,30479.695,99999
20170104210000,-99999,-99999,99999,30479.695,99999
20170104220000,-99999,-99999,99999,30479.695,99999
20170104230000,-99999,-99999,99999,30479.695,99999
20170105000000,-99999,-99999,99999,30479.695,99999
20170105010000,-99999,-99999,99999,30479.695,99999
20170105020000,-99999,-99999,99999,30479.695,99999
20170105030000,-99999,-99999,99999,30479.695,99999
20170105040000,-99999,-99999,99999,30479.695,99999
20170105050000,-99999,-99999,99999,30479.695,99999
20170105060000,FEW 30   SCT 120   BKN 140,14000,6,30479.695,99999
20170105060000,FEW 30   SCT 120   BKN 140,14000,6,30479.695,99999
20170105070000,FEW 25   SCT 100   BKN 130,13000,6,30479.695,99999
20170105070000,FEW 25   SCT 100   BKN 130,13000,6,30479.695,99999
20170105080000,FEW 30   SCT 100   BKN 130,13000,6,30479.695,99999
20170105080000,FEW 30   SCT 100   BKN 130,13000,6,30479.695,99999
20170105090000,FEW 30   SCT 100   BKN 130,13000,6,30479.695,99999
20170105090000,FEW 30   SCT 100   BKN 130,13000,6,30479.695,99999
20170105100000,FEW 30   SCT 100   BKN 130,13000,6,30479.695,99999
20170105100000,FEW 30   SCT 100   BKN 130,13000,6,30479.695,99999
20170105110000,FEW 30   BKN 100   BKN 130,10000,6,30479.695,99999
20170105110000,FEW 30   BKN 100   BKN 130,10000,6,30479.695,99999
20170105120000,FEW 30   BKN 100,10000,6,30479.695,99999
20170105120000,FEW 30   BKN 100,10000,6,30479.695,99999
20170105210000,FEW 30   BKN 50   BKN 80,5000,6,1219.2,4
20170105220000,FEW 20   SCT 50   BKN 90,9000,6,1219.2,4
20170105230000,FEW 10   SCT 70   BKN 90,9000,6,1219.2,4
20170106000000,FEW 10   SCT 60   BKN 80,8000,6,1219.2,4
20170106010000,FEW 5   SCT 60   BKN 80,8000,6,1219.2,4
20170106020000,FEW 2   SCT 80   BKN 100,10000,6,30479.695,99999
20170106030000,FEW 2   BKN 140,14000,6,30479.695,99999
20170106040000,FEW 2   SCT 100   BKN -9999,-9999,9999,30479.695,99999
20170106050000,FEW 5   BKN 100,10000,6,30479.695,99999
20170106060000,FEW 8   BKN 100,10000,6,30479.695,99999
20170106060000,FEW 8   BKN 100,10000,6,1219.2,4
