date,CIG,CIG_category
20130101000000,3000,5
20130101010000,-99999,9999
20130101020000,-9999,9999
20130101030000,-9999,9999
20130101040000,3500,5
20130101050000,4000,9999
20130101060000,5000,9999
20130101070000,-99999,9999
20130101080000,6000,9999
20130101090000,6000,9999
20130101100000,-99999,9999
20130101110000,5000,9999
20130101120000,-99999,9999
20130101210000,-99999,9999
20130101220000,-99999,9999
20130101230000,-99999,9999
20130102000000,-99999,9999
20130102010000,-99999,9999
20130102020000,-99999,9999
20130102030000,-99999,9999
20130102040000,-99999,9999
20130102050000,-99999,9999
20130102060000,-99999,9999
20130102070000,-99999,9999
20130102080000,-99999,9999
20130102090000,-99999,9999
20130102100000,-99999,9999
20130102110000,-99999,9999
20130102120000,-99999,9999
20130102210000,3500,5
20130102220000,3500,5
20130102230000,-99999,9999
20130103000000,-99999,9999
20130103010000,3000,5
20130103020000,-99999,9999
20130103030000,-99999,9999
20130103040000,10000,9999
20130103050000,-99999,9999
20130103060000,-99999,9999
20130103070000,-99999,9999
20130103080000,-99999,9999
20130103090000,-99999,9999
20130103100000,15000,9999
20130103110000,15000,9999
20130103120000,15000,9999
20130103210000,16000,9999
20130103220000,-99999,9999
20130103230000,-99999,9999
20130104000000,-99999,9999
20130104010000,-99999,9999
20130104020000,-99999,9999
20130104030000,-99999,9999
20130104040000,-99999,9999
20130104050000,-99999,9999
20130104060000,-99999,9999
20130104070000,-99999,9999
20130104080000,-99999,9999
20130104090000,-99999,9999
20130104100000,-99999,9999
20130104110000,18000,9999
20130104120000,15000,9999
20130104210000,3000,5
20130104220000,3000,5
20130104230000,3000,5
20130105000000,3500,5
20130105010000,3000,5
20130105020000,3500,5
20130105030000,4000,9999
20130105040000,12000,9999
20130105050000,12000,9999
20130105060000,12000,9999
20130105070000,11000,9999
20130105080000,4000,9999
20130105090000,4500,9999
20130105100000,4500,9999
20130105110000,4000,9999
20130105120000,4000,9999
20130105210000,-99999,9999
20130105220000,-99999,9999
20130105230000,-99999,9999
20130106000000,-99999,9999
20130106010000,-99999,9999
20130106020000,-99999,9999
20130106030000,-99999,9999
20130106040000,-99999,9999
