date,str,ceiling
20130101000000, FEW 15   BKN 30   BKN 45  ,3000
20130101010000, FEW 30   SCT 70  ,-99999
20130101020000, FEW 30   BKN -9999  ,-9999
20130101030000, FEW 30   SCT 70   BKN -9999  ,-9999
20130101040000, FEW 25   BKN 35  ,3500
20130101050000, FEW 25   SCT 30   BKN 40  ,4000
20130101060000, FEW 20   SCT 30   BKN 50  ,5000
20130101070000, FEW 30   SCT 40  ,-99999
20130101080000, FEW 30   BKN 60  ,6000
20130101090000, FEW 30   BKN 60  ,6000
20130101100000,-99999,-99999
20130101110000, BKN 50  ,5000
20130101120000, FEW 50  ,-99999
20130101210000, FEW 40  ,-99999
20130101220000, FEW 40  ,-99999
20130101230000, FEW 40  ,-99999
20130102000000, FEW 40  ,-99999
20130102010000, FEW 40  ,-99999
20130102020000, FEW 45  ,-99999
20130102030000, FEW 30  ,-99999
20130102040000, FEW 35   SCT 45  ,-99999
20130102050000, FEW 35   SCT 45  ,-99999
20130102060000, FEW 35   SCT 45  ,-99999
20130102070000, FEW 35   SCT 45  ,-99999
20130102080000, FEW 35  ,-99999
20130102090000, FEW 30  ,-99999
20130102100000, FEW 30  ,-99999
20130102110000, FEW 30   SCT 40  ,-99999
20130102120000, FEW 25   SCT 40  ,-99999
20130102210000, FEW 25   BKN 35  ,3500
20130102220000, FEW 25   BKN 35  ,3500
20130102230000, FEW 25   SCT 35  ,-99999
20130103000000, FEW 30  ,-99999
20130103010000, FEW 25   BKN 30  ,3000
20130103020000, FEW 30  ,-99999
20130103030000, FEW 30   SCT -9999  ,-99999
20130103040000, FEW 30   BKN 100  ,10000
20130103050000, FEW 30  ,-99999
20130103060000, FEW 30  ,-99999
20130103070000, FEW 30  ,-99999
20130103080000, FEW 35  ,-99999
20130103090000, FEW 40  ,-99999
20130103100000, FEW 40   BKN 150  ,15000
20130103110000, FEW 40   BKN 150  ,15000
20130103120000, FEW 40   BKN 150  ,15000
20130103210000, FEW 30   BKN 160  ,16000
20130103220000,-99999,-99999
20130103230000,-99999,-99999
20130104000000,-99999,-99999
20130104010000,-99999,-99999
20130104020000,-99999,-99999
20130104030000,-99999,-99999
20130104040000,-99999,-99999
20130104050000,-99999,-99999
20130104060000,-99999,-99999
20130104070000,-99999,-99999
20130104080000, FEW 40  ,-99999
20130104090000,-99999,-99999
20130104100000,-99999,-99999
20130104110000, FEW 50   BKN 180  ,18000
20130104120000, FEW 30   SCT 50   BKN 150  ,15000
20130104210000, FEW 20   BKN 30  ,3000
20130104220000, FEW 20   BKN 30  ,3000
20130104230000, FEW 20   BKN 30  ,3000
20130105000000, FEW 20   BKN 35  ,3500
20130105010000, FEW 25   BKN 30  ,3000
20130105020000, FEW 25   BKN 35   BKN 45  ,3500
